Title                                   PopularityNormal    Flag       Genres                                                      
 Grown Ups 2                             99.096    7548      51        {Comedy}                                                    
 Europa Report                           21.751    0         0         {"Science Fiction",Thriller}                                
 The Mortal Instruments: City of Bones   43.866    4412      26        {Fantasy,Action,Mystery}                                    
 Despicable Me 2                         82.886    6814      36        {Animation,Comedy,Family}                                   
 We're the Millers                       54.931    6155      42        {Comedy,Crime}                                              
 Kill Your Darlings                      27.833    0         0         {Drama,Romance,Thriller}                                    
 Carrie                                  35.652    7124      57        {Drama,Horror}                                              
 The Incredible Burt Wonderstone         20.119    0         0         {Comedy}                                                    
 Spring Breakers                         28.745    0         0         {Drama,Crime}                                               
 My Little Pony: Equestria Girls         13.143    0         0         {Animation,Comedy,Family,Fantasy,Music}                     
 12 Years a Slave                        41.742    5738      18        {Drama,History}                                             
 Barbie Mariposa & the Fairy Princess    25.079    0         0         {Animation,Family,Fantasy}                                  
 Vehicle 19                              18.378    0         0         {Thriller,Action}                                           
 Getaway                                 21.533    0         0         {Action,Crime}                                              
 Welcome to the Jungle                   19.62     0         0         {Comedy}                                                    
 Saving Mr. Banks                        22.4      0         0         {Comedy,Drama,History}                                      
 Escape from Planet Earth                26.603    0         0         {Animation,Comedy,Adventure,Family,"Science Fiction"}       
 42                                      45.133    1652      19        {Drama}                                                     
 The Smurfs: The Legend of Smurfy Hollow 19.178    0         0         {Comedy,Animation,Family,Fantasy}                           
 Fruitvale Station                       60.495    0         0         {Drama}                                                     
 Nymphomaniac: Vol. II                   52.722    2999      13        {Drama,Mystery}                                             
 Marvel One-Shot: Agent Carter           18.078    0         0         {Action,Adventure,"Science Fiction",Fantasy}                
 Walking with Dinosaurs                  34.423    123       5         {Animation,Family,Adventure}                                
 The Adventurer: The Curse of the Midas Box15.909    0         0         {Fantasy,Adventure,Family}                                  
 Her                                     46.793    5548      46        {Romance,"Science Fiction",Drama}                           
 Frozen                                  173.435   7669      53        {Animation,Family,Adventure,Fantasy}                        
 Are You Here                            19.277    0         0         {Comedy}                                                    
 Belle                                   19.106    0         0         {Drama}                                                     
 The Secret Life of Walter Mitty         57.331    5075      32        {Adventure,Comedy,Drama,Fantasy}                            
 Olympus Has Fallen                      53.726    3617      40        {Action,Thriller}                                           
 2 Guns                                  51.122    836       6         {Action,Comedy,Crime}                                       
 The Last Exorcism Part II               24.391    1437      14        {Horror,Thriller}                                           
 The Physician                           31.518    551       2         {Adventure,Drama,History}                                   
 Fright Night 2: New Blood               14.154    0         0         {Horror,Comedy}                                             
 The Great Gatsby                        63.644    5097      49        {Drama,Romance}                                             
 Captain Phillips                        44.355    0         0         {Action,Drama,Thriller}                                     
 The World's End                         36.323    0         0         {Comedy,Action,"Science Fiction"}                           
 Enemy                                   38.275    7365      33        {Thriller,Mystery}                                          
 Paranoia                                23.334    0         0         {Drama,Thriller}                                            
 Curse of Chucky                         48.556    627       4         {Horror,Thriller}                                           
 Justice League: The Flashpoint Paradox  36.324    2071      26        {"Science Fiction",Animation,Action,Adventure}              
 Crush                                   18.054    3         0         {Thriller}                                                  
 After Earth                             38.154    923       5         {"Science Fiction",Action,Adventure}                        
 The Hunger Games: Catching Fire         194.566   10174     56        {Adventure,Action,"Science Fiction"}                        
 Escape Plan                             44.817    4301      46        {Action,Thriller}                                           
 The Place Beyond the Pines              42.272    0         0         {Drama,Crime}                                               
 Iron Man 3                              105.26    10070     36        {Action,Adventure,"Science Fiction"}                        
 Elysium                                 39.511    5488      29        {"Science Fiction",Action,Drama,Thriller}                   
 G.I. Joe: Retaliation                   55.313    3983      13        {"Science Fiction",Adventure,Action,Thriller}               
 Devil's Knot                            22.095    0         0         {Crime,Drama,Thriller}                                      
 Grudge Match                            15.648    0         0         {Comedy}                                                    
 The Last Stand                          28.755    1342      19        {Action,Crime,Thriller}                                     
 How I Live Now                          16.567    0         0         {Drama,Action,Thriller,War}                                 
 Lone Survivor                           41.989    6446      79        {War,Action,Drama}                                          
 The Conjuring                           112.285   9293      48        {Horror,Thriller}                                           
 I'm in Love with a Church Girl          16.161    0         0         {Drama,Romance}                                             
 Don Jon                                 39.799    5851      30        {Romance,Comedy,Drama}                                      
 What If                                 24.832    2         0         {Drama,Comedy,Romance}                                      
 The Haunting in Connecticut 2: Ghosts of Georgia19.142    0         0         {Horror,Drama,Thriller}                                     
 Percy Jackson: Sea of Monsters          39.575    2631      20        {Adventure,Family,Fantasy}                                  
 Man of Tai Chi                          17.315    0         0         {Action,Drama}                                              
 Warm Bodies                             27.388    408       3         {Horror,Comedy,Romance}                                     
 Identity Thief                          26.431    0         0         {Comedy,Crime}                                              
 All Is Lost                             21.03     0         0         {Action,Adventure,Drama}                                    
 Only Lovers Left Alive                  18.899    0         0         {Drama,Romance}                                             
 Third Person                            16.348    0         0         {Drama,Romance}                                             
 A Good Day to Die Hard                  73.671    9522      73        {Action,Thriller}                                           
 Jackass Presents: Bad Grandpa           24.994    0         0         {Comedy}                                                    
 47 Ronin                                45.086    230       1         {Drama,Action,Fantasy}                                      
 Gangster Squad                          25.421    0         0         {Crime,Drama,Action,Thriller}                               
 The Book Thief                          24.907    0         0         {Drama}                                                     
 Monsters University                     80.646    8580      65        {Animation,Family}                                          
 The Croods                              67.562    1292      8         {Animation,Adventure,Family,Fantasy,Comedy,Action}          
 The Book of Daniel                      33.675    4597      48        {Fantasy,Drama}                                             
 Prisoners                               67.441    7372      39        {Drama,Thriller,Crime}                                      
 RED 2                                   48.698    1523      0         {Action,Comedy,Crime,Thriller}                              
 Frances Ha                              16.289    28        0         {Comedy,Drama}                                              
 Cloudy with a Chance of Meatballs 2     73.565    4239      32        {Animation,Family,Comedy}                                   
 Death Race: Inferno                     43.451    839       5         {Action,"Science Fiction",Thriller}                         
 Epic                                    49.08     9135      45        {Animation,Adventure,Family,Fantasy}                        
 A Haunted House                         40.755    3997      11        {Comedy,Horror}                                             
 Company of Heroes                       17.859    22        0         {Action,Drama,War}                                          
 Labor Day                               18.79     0         0         {Drama}                                                     
 Teen Beach Movie                        20.47     0         0         {Family,Music,"TV Movie",Comedy}                            
 The Art of the Steal                    19.911    0         0         {Comedy,Crime}                                              
 Scary Movie 5                           59.317    11821     80        {Comedy}                                                    
 Ritual                                  54.795    992       6         {Horror}                                                    
 Ender's Game                            45.295    161       0         {"Science Fiction",Action,Adventure}                        
 Scooby-Doo! Stage Fright                16.018    0         0         {Family,Adventure,Animation,Comedy,Mystery}                 
 The Demented                            21.303    0         0         {Horror}                                                    
 Dead Man Down                           26.807    0         0         {Thriller,Action,Crime,Drama}                               
 The Dyatlov Pass Incident               16.525    0         0         {Thriller,Mystery}                                          
 Runner Runner                           32.97     0         0         {Crime,Thriller,Drama}                                      
 The Marine 3: Homefront                 21.177    0         0         {Action}                                                    
 Jack the Giant Slayer                   47.955    3780      23        {Fantasy,Action,Adventure,Family}                           
 Madly Madagascar                        20.812    0         0         {Animation,Comedy,Family}                                   
 Pleasure or Pain                        30.764    1311      10        {Drama,Thriller}                                            
 Texas Chainsaw 3D                       210.157   6289      44        {Horror,Thriller}                                           
 The Host                                29.604    0         0         {Action,Adventure,"Science Fiction"}                        
 Thor: The Dark World                    88.629    9792      49        {Action,Adventure,Fantasy}                                  
 V/H/S/2                                 23.565    1231      12        {Horror,Thriller}                                           
 The Butler                              26.619    0         0         {Drama}                                                     
 You're Next                             24.354    19        0         {Horror,Thriller,Mystery}                                   
 The Call                                36.272    1968      20        {Crime,Thriller}                                            
 Man of Steel                            66.448    8059      63        {Action,Adventure,"Science Fiction"}                        
 About Time                              54.189    6283      31        {Drama,Romance,Fantasy}                                     
 Lovelace                                25.419    0         0         {Drama}                                                     
 The Young and Prodigious T.S. Spivet    20.551    0         0         {Adventure,Drama,Family}                                    
 Empire State                            31.265    0         0         {Action,Drama}                                              
 Out of the Furnace                      21.942    0         0         {Thriller,Drama,Crime}                                      
 I Spit on Your Grave 2                  40.84     4481      42        {Thriller,Horror,Crime}                                     
 21 & Over                               21.925    0         0         {Comedy}                                                    
 Movie 43                                31.166    596       2         {Comedy}                                                    
 Monster High: Scaris City of Frights    18.992    896       3         {Animation,Fantasy}                                         
 Blackfish                               13.671    0         0         {Documentary}                                               
 Star Trek Into Darkness                 56.952    7317      43        {Action,Adventure,"Science Fiction"}                        
 Parkland                                17.405    0         0         {History,Drama}                                             
 Evil Dead                               46.717    9483      75        {Horror}                                                    
