Title                                   PopularityNormal    Flag       Genres                                                      
 Monarch: Legacy of Monsters             1234.061  0         0         {Drama,"Sci-Fi & Fantasy","Action & Adventure"}             
 Squid Game: The Challenge               1084.332  0         0         {Reality}                                                   
 Star Trek                               657.752   0         0         {"Sci-Fi & Fantasy",Drama}                                  
 Fear the Walking Dead                   389.968   0         0         {"Action & Adventure",Drama}                                
 Blue Bloods                             316.038   618       13        {Drama,Crime}                                               
 Euphoria                                299.281   0         0         {Drama}                                                     
 The X-Files                             277.159   18        0         {"Sci-Fi & Fantasy",Mystery,Crime}                          
 The Graham Norton Show                  469.568   0         0         {Comedy,Talk}                                               
 Law & Order: Criminal Intent            401.923   9941      66        {Drama}                                                     
 Sex and the City                        492.548   0         0         {Comedy}                                                    
 NCIS: Los Angeles                       249.88    0         0         {"Action & Adventure",Drama,Crime,Mystery}                  
 Invincible                              1032.451  0         0         {Animation,"Sci-Fi & Fantasy","Action & Adventure",Drama}   
 Grimm                                   252.873   0         0         {Drama,Mystery,"Sci-Fi & Fantasy"}                          
 Battlestar Galactica                    302.12    0         0         {"Sci-Fi & Fantasy","Action & Adventure",Drama}             
 Seinfeld                                378.18    0         0         {Comedy}                                                    
 Diagnosis: Murder                       222.51    0         0         {Drama}                                                     
 Star Trek: The Next Generation          663.074   0         0         {"Sci-Fi & Fantasy","Action & Adventure",Drama,Mystery}     
 Supernatural                            1220.366  0         0         {Drama,Mystery,"Sci-Fi & Fantasy"}                          
 Modern Family                           331.464   0         0         {Comedy}                                                    
 CSI: NY                                 283.126   0         0         {Crime,Drama,Mystery}                                       
 The Crown                               317.427   0         0         {Drama}                                                     
 Game of Thrones                         811.25    0         0         {"Sci-Fi & Fantasy",Drama,"Action & Adventure"}             
 The Boys                                348.717   0         0         {"Sci-Fi & Fantasy","Action & Adventure"}                   
 House                                   766.349   0         0         {Drama,Mystery}                                             
 Vikings                                 405.874   0         0         {"Action & Adventure",Drama,"War & Politics"}               
 American Dad!                           808.23    1153      6         {Animation,Comedy}                                          
 The Walking Dead                        414.475   0         0         {"Action & Adventure",Drama,"Sci-Fi & Fantasy"}             
 Hawaii Five-0                           282.163   0         0         {Crime,Drama,"Action & Adventure"}                          
 CSI: Miami                              594.615   0         0         {Drama,Mystery,Crime}                                       
 The Tonight Show Starring Jimmy Fallon  245.935   1743      34        {Comedy,Talk}                                               
 The Late Show with Stephen Colbert      273.591   8697      101       {Comedy,Talk}                                               
 Emmerdale                               424.521   0         0         {Soap,Drama}                                                
 The Beverly Hillbillies                 467.412   0         0         {Comedy}                                                    
 A Murder at the End of the World        313.827   0         0         {Crime,Drama,Mystery}                                       
 I'm a Celebrity...Get Me Out of Here!   418.835   0         0         {Comedy,Reality}                                            
 Phineas and Ferb                        338.467   0         0         {Animation,Comedy,Family,"Sci-Fi & Fantasy"}                
 Scott Pilgrim Takes Off                 268.261   0         0         {Animation,"Action & Adventure",Comedy,"Sci-Fi & Fantasy"}  
 M*A*S*H                                 385.517   0         0         {"War & Politics",Drama,Comedy}                             
 Riverdale                               285.202   0         0         {Crime,Drama,Mystery}                                       
 Adventure Time                          297.035   0         0         {Animation,Comedy,"Sci-Fi & Fantasy"}                       
 Stargate SG-1                           306.91    0         0         {"Sci-Fi & Fantasy","Action & Adventure",Mystery}           
 The Grim Adventures of Billy and Mandy  360.012   0         0         {Animation,Comedy,Family}                                   
 Cheers                                  390.662   0         0         {Comedy}                                                    
 House of the Dragon                     272.776   0         0         {"Sci-Fi & Fantasy",Drama,"Action & Adventure"}             
 Married... with Children                234.947   0         0         {Comedy,Drama}                                              
 Friends                                 802.82    0         0         {Comedy}                                                    
 Bones                                   646.325   0         0         {Crime,Drama}                                               
 Star Trek: Enterprise                   384.332   0         0         {"Sci-Fi & Fantasy","Action & Adventure",Drama}             
 Fringe                                  343.98    0         0         {"Sci-Fi & Fantasy",Drama,Mystery}                          
 Star Trek: Voyager                      468.654   0         0         {"Sci-Fi & Fantasy",Drama,"Action & Adventure"}             
 Fargo                                   1027.916  0         0         {Crime,Drama}                                               
 Sesame Street                           330.932   0         0         {Kids,Comedy}                                               
 Gravity Falls                           225.186   0         0         {Animation,Comedy,Mystery,"Sci-Fi & Fantasy",Kids}          
 Mayday                                  373.929   0         0         {Documentary,Drama}                                         
 The Wonder Years                        366.747   0         0         {Comedy,Drama,Family}                                       
 Chuck                                   352.338   0         0         {"Action & Adventure",Comedy,Drama}                         
 One Tree Hill                           344.576   0         0         {Drama}                                                     
 Medium                                  358.338   0         0         {Crime,Drama,Mystery,"Sci-Fi & Fantasy"}                    
 Lucifer                                 525.348   0         0         {Crime,"Sci-Fi & Fantasy"}                                  
 Doctor Who                              877.437   610       4         {"Action & Adventure",Drama,"Sci-Fi & Fantasy"}             
 Young Sheldon                           434.431   0         0         {Comedy,Family}                                             
 Arrow                                   412.338   0         0         {Crime,Drama,Mystery,"Action & Adventure"}                  
 Shameless                               438.908   0         0         {Drama,Comedy}                                              
 Black Mirror                            249.562   0         0         {"Sci-Fi & Fantasy",Drama,Mystery}                          
 Person of Interest                      259.319   0         0         {Drama,"Action & Adventure",Crime,"Sci-Fi & Fantasy"}       
 Two and a Half Men                      368.538   0         0         {Comedy,Drama}                                              
 The Daily Show                          371.34    0         0         {News,Comedy}                                               
 Prison Break                            470.033   0         0         {"Action & Adventure",Crime,Drama}                          
 Beverly Hills, 90210                    342.541   0         0         {Drama}                                                     
 The Lazarus Project                     217.293   0         0         {"Sci-Fi & Fantasy",Drama,"Action & Adventure"}             
 Magnum, P.I.                            328.888   0         0         {"Action & Adventure",Crime,Drama,Mystery}                  
 Orange Is the New Black                 324.611   0         0         {Comedy,Drama}                                              
 Cobra Kai                               252.277   0         0         {"Action & Adventure",Drama,Comedy}                         
 The 100                                 241.238   0         0         {"Sci-Fi & Fantasy",Drama,"Action & Adventure"}             
 Homeland                                318.94    0         0         {Drama,"War & Politics"}                                    
 Six Feet Under                          318.123   0         0         {Drama}                                                     
 Murdoch Mysteries                       204.067   0         0         {Mystery,Drama}                                             
 BLUE EYE SAMURAI                        203.73    0         0         {"Action & Adventure",Animation,Drama}                      
 The Gilded Age                          243.066   0         0         {Drama}                                                     
 Keeping Up with the Kardashians         306.342   0         0         {Reality}                                                   
 That '70s Show                          301.041   0         0         {Comedy,Family,Drama}                                       
 Batman: The Animated Series             298.694   0         0         {"Action & Adventure",Animation,Drama,Mystery}              
 The Office                              340.761   0         0         {Comedy}                                                    
 Heartland                               237.463   0         0         {Family,Drama}                                              
 Gossip Girl                             285.881   0         0         {Drama,Mystery}                                             
 JAG                                     227.615   0         0         {Drama,"Action & Adventure"}                                
 The Vampire Diaries                     402.026   0         0         {Drama,"Sci-Fi & Fantasy"}                                  
 The Andy Griffith Show                  295.357   0         0         {Comedy}                                                    
 ONE PIECE                               232.508   0         0         {"Action & Adventure","Sci-Fi & Fantasy"}                   
 Peaky Blinders                          439.608   0         0         {Drama,Crime}                                               
 Yellowstone                             575.216   0         0         {Western,Drama}                                             
 MacGyver                                200.416   0         0         {Drama,"Action & Adventure"}                                
 The Nanny                               266.103   0         0         {Comedy}                                                    
 Justified                               291.845   0         0         {Crime,Drama}                                               
 Titans                                  170.18    0         0         {"Action & Adventure","Sci-Fi & Fantasy",Drama}             
 Desperate Housewives                    394.324   0         0         {Mystery,Drama,Comedy}                                      
 Family Guy                              1281.251  3847      20        {Animation,Comedy}                                          
 Bluey                                   198.396   0         0         {Animation,Kids}                                            
 Star Wars: The Clone Wars               197.724   0         0         {"Action & Adventure",Animation,"Sci-Fi & Fantasy"}         
 The Voice                               287.246   0         0         {Reality}                                                   
 Coronation Street                       161.671   0         0         {Soap}                                                      
 Outlander                               223.631   0         0         {Drama,"Sci-Fi & Fantasy"}                                  
 The Last Kingdom                        227.546   0         0         {"Action & Adventure",Drama,"War & Politics"}               
 Mad Men                                 281.844   0         0         {Drama}                                                     
 Teen Titans Go!                         242.97    0         0         {Animation,Comedy,"Action & Adventure","Sci-Fi & Fantasy",Family}
