Genre                         Total Normal   Total Flag     
 Action                        183502         1275           
 Adventure                     124356         785            
 Animation                     55630          390            
 Comedy                        100632         651            
 Crime                         50176          366            
 Documentary                   0              0              
 Drama                         108118         782            
 Family                        59635          406            
 Fantasy                       77629          480            
 History                       7030           25             
 Horror                        84320          569            
 Music                         0              0              
 Mystery                       23912          168            
 Romance                       23201          159            
 ScienceFiction                114372         716            
 Thriller                      127206         829            
 TVMovie                       0              0              
 War                           6468           79             
 Western                       236            1              
