Genre                         Total NormalTotal Flag
 Action&Adventure              19768     181       
 Animation                     18194     170       
 Comedy                        28836     305       
 Crime                         18929     136       
 Documentary                   0         0         
 Drama                         51713     313       
 Family                        0         0         
 Kids                          0         0         
 Mystery                       11787     82        
 News                          195       0         
 Reality                       0         0         
 Sci-Fi&Fantasy                28568     225       
 Soap                          0         0         
 Talk                          17060     213       
 War&Politics                  0         0         
 Western                       0         0         
